,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Palmer,1,US,1547510280,92,61.6,-149.11,28.04,3.0
1,Severo-Kurilsk,56,RU,1547512872,100,50.68,156.12,28.3,10.38
2,Ballina,88,IE,1547512871,98,54.11,-9.15,47.83,13.85
3,Upernavik,20,GL,1547513058,100,72.79,-56.15,-11.17,17.72
4,Vaini,0,IN,1547510400,71,15.34,74.49,57.2,4.56
5,Punta Arenas,75,CL,1547510400,58,-53.16,-70.91,57.2,6.93
6,Mar del Plata,20,AR,1547512812,21,-46.43,-67.52,78.11,14.14
7,New Norfolk,0,AU,1547510400,61,-42.78,147.06,77.0,11.41
8,Qaanaaq,0,GL,1547512785,100,77.48,-69.36,-27.91,9.26
9,Merauke,36,ID,1547513059,99,-8.49,140.4,81.08,5.64
10,Humaita,90,AR,1547510400,93,-24.93,-65.37,69.8,2.24
11,Ushuaia,75,AR,1547510400,71,-54.81,-68.31,53.6,13.87
12,Camacha,20,PT,1547510400,72,33.08,-16.33,60.8,4.7
13,Ancud,20,CL,1547510400,67,-41.87,-73.83,60.8,4.7
14,Bluff,0,AU,1547513059,49,-23.58,149.07,84.86,9.66
15,Mataura,48,NZ,1547512788,80,-46.19,168.86,61.24,6.8
16,Srivardhan,0,IN,1547513060,86,18.03,73.02,65.96,4.74
17,Port Blair,36,IN,1547512848,100,11.67,92.75,81.85,11.34
18,Boca do Acre,20,BR,1547512912,90,-8.76,-67.39,76.18,2.1
19,Fatehabad,0,IN,1547513060,74,27.03,78.3,43.06,9.6
20,Petukhovo,76,RU,1547513060,93,55.06,67.89,19.57,6.76
21,Bilibino,12,RU,1547513060,0,68.06,166.44,-46.95,2.21
22,Cockburn Town,68,TC,1547513028,99,21.46,-71.14,78.79,9.1
23,Nouadhibou,0,MR,1547510400,93,20.93,-17.03,62.6,12.75
24,Thompson,90,CA,1547511060,76,55.74,-97.86,-5.81,5.82
25,Soligalich,92,RU,1547513061,91,59.08,42.29,25.46,15.7
26,East London,48,ZA,1547513061,100,-33.02,27.91,72.98,2.1
27,Hamilton,40,CA,1547510400,79,43.26,-79.87,28.4,8.05
28,Castro,20,CL,1547510400,67,-42.48,-73.76,60.8,4.7
29,Chuy,88,UY,1547512799,97,-33.69,-53.46,71.36,7.54
30,Yellowknife,40,CA,1547510400,75,62.45,-114.38,-20.21,6.93
31,Pontiac,1,US,1547512560,54,42.64,-83.29,30.02,3.36
32,Nizwa,36,OM,1547513062,90,22.93,57.53,51.38,2.89
33,Busselton,0,AU,1547513062,100,-33.64,115.35,63.04,17.31
34,Mount Gambier,0,AU,1547510400,30,-37.83,140.78,82.4,6.93
35,Albany,90,US,1547511420,56,42.65,-73.75,21.92,3.36
36,Rikitea,48,PF,1547513063,98,-23.12,-134.97,80.36,11.16
37,Nioro,0,GM,1547513063,33,13.79,-15.05,73.12,9.66
38,Looc,75,PH,1547510400,74,10.32,123.95,80.6,13.87
39,Chifeng,0,CN,1547513063,30,42.27,118.96,0.26,14.47
40,Maniitsoq,8,GL,1547513063,100,65.42,-52.9,2.38,7.54
41,Saint George,75,GR,1547509800,86,39.45,22.34,33.8,2.28
42,San Quintin,0,PH,1547513064,71,17.54,120.52,66.1,3.51
43,Strathmore,20,CA,1547510400,55,51.04,-113.4,39.2,9.17
44,Port Alfred,0,ZA,1547512787,97,-33.59,26.89,67.99,2.39
45,Atuona,48,PF,1547513064,99,-9.8,-139.03,81.94,15.59
46,Plavsk,88,RU,1547513064,91,53.71,37.29,29.29,16.93
47,Ambulu,36,ID,1547513065,100,-8.35,113.61,79.15,3.89
48,Kholodnyy,8,RU,1547513065,0,62.72,147.95,-45.96,2.51
49,Kruisfontein,0,ZA,1547512781,94,-34.0,24.73,62.54,5.86
50,Kavieng,80,PG,1547512855,100,-2.57,150.8,77.98,7.02
51,Port Hardy,5,CA,1547510400,87,50.7,-127.42,44.6,2.89
52,San Patricio,32,PY,1547513065,78,-26.98,-56.83,82.21,3.0
53,Srednekolymsk,56,RU,1547513065,71,67.46,153.71,-23.77,4.12
54,Mikkeli,90,FI,1547511600,100,61.69,27.27,28.4,1.12
55,Aykhal,0,RU,1547513066,0,65.95,111.51,-56.67,2.73
56,Ponta do Sol,36,BR,1547513066,80,-20.63,-46.0,72.49,2.73
57,Qasigiannguit,36,GL,1547509800,63,68.82,-51.19,-11.21,3.36
58,Georgetown,40,GY,1547510400,78,6.8,-58.16,80.6,9.17
59,Rimini,0,IT,1547511600,51,44.06,12.57,39.2,9.17
60,Mbandaka,48,CD,1547513067,98,0.05,18.26,73.84,2.51
61,Bethel,40,US,1547510160,75,60.79,-161.76,39.02,20.8
62,Leningradskiy,36,RU,1547513067,93,69.38,178.42,-7.39,17.09
63,Itoman,0,JP,1547512200,60,26.12,127.67,69.8,5.82
64,Jalu,0,LY,1547513068,55,29.03,21.55,45.58,11.39
65,Barrow,88,AR,1547513068,78,-38.31,-60.23,71.77,4.74
66,Kloulklubed,40,PW,1547509800,65,7.04,134.26,82.4,14.99
67,Butaritari,80,KI,1547512779,100,3.07,172.79,82.88,14.92
68,Quatre Cocos,76,MU,1547513068,82,-20.21,57.76,79.64,9.89
69,Cape Town,0,ZA,1547510400,82,-33.93,18.42,60.8,2.24
70,Carutapera,64,BR,1547513069,95,-1.2,-46.02,77.39,6.13
71,Saint-Philippe,90,CA,1547510400,78,45.36,-73.48,14.0,5.82
72,Gigmoto,92,PH,1547513069,100,13.78,124.39,76.18,10.94
73,Bosaso,24,SO,1547513069,100,11.28,49.18,73.21,7.81
74,Wattegama,48,LK,1547513069,97,7.35,80.68,68.44,3.22
75,Karratha,12,AU,1547513069,69,-20.74,116.85,84.28,5.35
76,Jamestown,32,AU,1547513061,46,-33.21,138.6,91.84,4.41
77,Balkanabat,68,TM,1547513070,99,39.51,54.36,37.57,3.0
78,Dikson,76,RU,1547513070,92,73.51,80.55,9.04,21.34
79,Ko Samui,20,TH,1547510400,88,9.54,99.94,80.6,1.21
80,San Cristobal,75,EC,1547510400,100,-0.39,-78.55,57.2,4.7
81,Rawlins,1,US,1547512500,78,41.79,-107.24,19.4,3.11
82,Bathsheba,40,BB,1547510400,73,13.22,-59.52,77.0,14.99
83,Pinega,88,RU,1547513071,85,64.7,43.39,21.37,5.64
84,Nurota,90,UZ,1547510400,40,40.56,65.69,51.8,11.41
85,Hilo,75,US,1547509980,54,19.71,-155.08,80.06,13.87
86,Kapaa,40,US,1547510160,58,22.08,-159.32,82.04,12.75
87,Narsaq,68,GL,1547509800,68,60.91,-46.05,28.4,1.77
88,Hasaki,75,JP,1547510400,74,35.73,140.83,37.4,2.24
89,Omboue,76,GA,1547513071,100,-1.57,9.26,81.22,3.62
90,Kodiak,90,US,1547510100,100,39.95,-94.76,32.0,9.17
91,Norman Wells,40,CA,1547510400,63,65.28,-126.83,-9.41,6.93
92,Arraial do Cabo,8,BR,1547513065,83,-22.97,-42.02,78.07,19.89
93,Tiksi,44,RU,1547513072,73,71.64,128.87,-36.96,3.29
94,Hue,75,VN,1547510400,100,16.47,107.58,68.0,3.36
95,Havre-Saint-Pierre,90,CA,1547511540,78,50.23,-63.6,15.8,9.17
96,Kindu,92,CD,1547513072,89,-2.95,25.92,72.71,2.06
97,Avarua,40,CK,1547510400,70,-21.21,-159.78,84.2,4.7
98,Honningsvag,88,NO,1547513072,100,70.98,25.97,27.44,5.53
99,Raudeberg,92,NO,1547511600,99,61.99,5.14,32.0,10.29
100,Meulaboh,80,ID,1547512904,100,4.14,96.13,75.64,4.07
101,Zyryanka,64,RU,1547513073,69,65.73,150.89,-23.01,4.07
102,Bell Ville,80,AR,1547513073,85,-32.63,-62.69,74.38,7.09
103,Nikolskoye,90,RU,1547510400,94,59.7,30.79,32.0,4.47
104,Pangnirtung,90,CA,1547506800,69,66.15,-65.72,-7.61,13.87
105,Nanortalik,92,GL,1547513074,89,60.14,-45.24,28.03,9.33
106,Vostok,68,RU,1547513074,83,46.45,135.83,8.32,2.51
107,Marrakesh,0,MA,1547510400,70,31.63,-7.99,48.2,6.93
108,Hobart,0,AU,1547510400,61,-42.88,147.33,77.0,11.41
109,Tazovskiy,80,RU,1547513071,83,67.47,78.7,14.62,7.36
110,Tevaitoa,88,PF,1547512968,100,-16.78,-151.5,82.79,17.49
111,Bodh Gaya,0,IN,1547510400,81,24.7,84.98,44.6,10.29
112,Ocampo,68,PH,1547513074,93,13.56,123.37,77.08,10.89
113,Tooele,90,US,1547511300,86,40.53,-112.3,28.04,3.0
114,Sitka,0,US,1547513075,80,37.17,-99.65,40.76,3.11
115,Cidreira,56,BR,1547513075,91,-30.17,-50.22,79.01,4.12
116,Pundaguitan,80,PH,1547513075,100,6.37,126.17,78.83,13.06
117,California City,90,US,1547511360,93,35.13,-117.99,45.5,14.99
118,Letlhakane,32,BW,1547513075,76,-21.42,25.59,70.64,7.14
119,Kuandian,0,CN,1547513076,52,40.73,124.78,10.61,10.94
120,Boa Esperanca,44,BR,1547513076,94,-1.91,-60.0,75.1,3.06
121,Jacareacanga,64,BR,1547513076,88,-6.22,-57.76,77.53,2.06
122,Lerik,20,AZ,1547509860,69,38.78,48.42,33.8,11.41
123,Port Augusta,0,AU,1547510400,33,-32.49,137.76,89.6,6.93
124,Kyren,0,RU,1547513077,35,51.68,102.13,-26.56,2.06
125,Kolondieba,0,ML,1547513077,30,11.09,-6.89,70.51,7.43
126,Laguna,90,MX,1547509500,52,27.52,-110.01,69.8,5.82
127,Iqaluit,90,CA,1547510400,70,63.75,-68.52,-0.41,9.17
128,Mvuma,76,ZW,1547513077,97,-19.28,30.53,63.94,3.0
129,Marsabit,0,KE,1547513077,72,2.34,37.99,66.73,4.52
130,La Ronge,90,CA,1547510400,92,55.1,-105.3,23.0,3.36
131,Tazmalt,20,DZ,1547510400,93,36.39,4.4,42.8,9.17
132,Tres Arroyos,88,AR,1547513078,78,-38.38,-60.28,71.77,4.74
133,Mogadishu,44,SO,1547512950,100,2.04,45.34,78.7,20.56
134,Salalah,20,OM,1547509800,73,17.01,54.1,73.4,4.7
135,Morgan City,90,US,1547512500,74,29.7,-91.21,44.6,6.93
136,Sabang,68,PH,1547512790,93,13.72,123.58,77.08,10.89
137,Kahului,40,US,1547510160,52,20.89,-156.47,82.04,14.99
138,Puerto Ayora,20,EC,1547510400,74,-0.74,-90.35,80.6,10.29
139,Ribeira Grande,76,PT,1547513071,97,38.52,-28.7,61.73,4.9
140,Port Lincoln,36,AU,1547513079,69,-34.72,135.86,77.93,3.85
141,Aklavik,5,CA,1547510400,67,68.22,-135.01,-20.21,4.7
142,Pringsewu,44,ID,1547513079,93,-5.36,104.98,74.24,2.1
143,Noumea,0,NC,1547512200,55,-22.28,166.46,87.8,19.46
144,Dubbo,0,AU,1547510400,16,-32.25,148.6,98.6,14.99
145,Semnan,0,IR,1547513080,79,35.58,53.39,37.57,10.16
146,Birao,12,CF,1547513080,35,10.3,22.78,69.43,9.82
147,Mahebourg,76,MU,1547513080,82,-20.41,57.7,79.64,9.89
148,Broome,0,GB,1547511600,100,52.47,1.45,41.0,10.29
149,Kawalu,12,ID,1547513080,96,-7.38,108.21,68.71,2.84
150,Bairnsdale,12,AU,1547513080,69,-37.83,147.63,85.81,2.55
151,Morondava,36,MG,1547513080,100,-20.3,44.28,76.54,4.23
152,Tommot,20,RU,1547513081,34,58.97,126.27,-24.36,2.39
153,Pacific Grove,90,US,1547512200,81,36.62,-121.92,55.4,4.7
154,Yerofey Pavlovich,44,RU,1547513081,45,53.97,121.97,-16.57,2.84
155,Kavaratti,0,IN,1547513081,100,10.57,72.64,82.16,9.6
156,Esperance,20,TT,1547510400,73,10.24,-61.45,77.0,6.02
157,Chicama,90,PE,1547510400,83,-7.84,-79.15,73.4,11.41
158,Darnah,100,LY,1547513081,100,32.77,22.64,60.7,40.53
159,Nome,1,US,1547511300,66,30.04,-94.42,50.0,5.82
160,Port Elizabeth,1,US,1547510160,66,39.31,-74.98,32.0,4.7
161,Ilulissat,36,GL,1547509800,63,69.22,-51.1,-11.21,3.36
162,Ambovombe,64,MG,1547513082,86,-25.18,46.09,78.79,4.74
163,Golden,90,CA,1547510400,79,51.3,-116.96,24.8,2.24
164,Hermanus,0,ZA,1547513083,96,-34.42,19.24,51.11,2.55
165,Dunedin,20,NZ,1547513064,88,-45.87,170.5,61.19,3.85
166,Yar-Sale,56,RU,1547513083,91,66.83,70.83,9.22,9.55
167,Manta,0,RO,1547513083,54,45.1,24.1,11.69,5.35
168,Kirakira,0,SB,1547513083,100,-10.46,161.92,84.19,9.6
169,Port Hawkesbury,75,CA,1547510640,85,45.62,-61.36,12.2,6.93
170,Alofi,40,NU,1547510400,62,-19.06,-169.92,87.8,13.87
171,Tuatapere,0,NZ,1547513084,89,-46.13,167.69,59.17,6.42
172,Lapua,80,FI,1547511600,92,62.97,23.01,24.8,10.29
173,Valparaiso,90,US,1547512860,83,41.47,-87.06,26.6,11.41
174,Bredasdorp,56,ZA,1547510400,82,-34.53,20.04,59.0,3.36
175,Yulara,0,AU,1547510400,14,-25.24,130.99,100.4,6.93
176,Ferry Pass,90,US,1547511300,76,30.51,-87.21,43.52,11.41
177,Freetown,20,BS,1547510400,83,26.61,-78.36,69.8,9.17
178,Hofn,0,IS,1547512797,100,64.25,-15.21,38.69,24.47
179,Coahuayana,20,MX,1547513085,34,18.62,-100.35,77.53,2.28
180,Polonne,64,UA,1547513085,86,50.12,27.51,23.93,17.83
181,Sahuaripa,88,MX,1547512835,45,29.05,-109.23,62.23,3.51
182,Topolobampo,90,MX,1547509440,77,25.6,-109.05,62.6,8.93
183,Camp Verde,90,US,1547512500,70,34.56,-111.85,51.8,5.53
184,Dzaoudzi,0,YT,1547512200,78,-12.79,45.27,82.4,3.36
185,Buala,68,SB,1547513086,100,-8.15,159.59,81.53,4.34
186,Faya,0,SA,1547510400,12,18.39,42.45,53.6,2.21
187,Tomatlan,88,MX,1547513086,76,19.93,-105.25,76.18,1.99
188,Koungheul,0,SN,1547513087,33,13.98,-14.8,73.12,9.66
189,Mineros,40,BO,1547510400,88,-17.12,-63.23,78.8,4.7
190,Uyuni,12,BO,1547513087,85,-20.46,-66.82,48.1,4.0
191,Gorontalo,88,ID,1547513087,100,0.54,123.06,73.16,2.33
192,Mareeba,40,AU,1547510400,79,-16.99,145.42,84.2,12.75
193,Fairbanks,1,US,1547510280,86,64.84,-147.72,-0.23,2.89
194,Namibe,32,AO,1547513087,100,-15.19,12.15,72.04,5.41
195,Fortuna,0,ES,1547510400,61,38.18,-1.13,46.4,6.93
196,Kaitangata,36,NZ,1547512857,90,-46.28,169.85,61.19,7.25
197,Makubetsu,75,JP,1547510400,84,42.84,143.34,8.6,2.24
198,Sungairaya,48,ID,1547513088,96,0.7,108.9,76.63,3.33
199,Kibaya,75,RW,1547510400,68,-2.2,30.56,66.2,3.36
200,Creel,68,MX,1547513088,55,27.75,-107.63,51.61,4.79
201,Tutoia,92,BR,1547513089,99,-2.76,-42.27,76.45,4.23
202,Whakatane,8,NZ,1547513089,100,-37.96,176.99,66.19,4.34
203,Grand Gaube,76,MU,1547513089,100,-20.01,57.66,81.08,16.6
204,Kapuskasing,75,CA,1547510400,85,49.42,-82.43,14.0,5.82
205,Tabou,0,CI,1547513089,100,4.42,-7.36,82.61,7.92
206,Bronnoysund,90,NO,1547511600,92,65.46,12.2,28.4,3.36
207,Birin,48,SY,1547513089,90,35.01,36.67,39.91,5.41
208,Le Havre,90,FR,1547510400,70,49.49,0.11,46.4,8.05
209,At-Bashi,8,KG,1547513090,45,41.17,75.81,-12.57,2.33
210,Mangrol,0,IN,1547513090,72,25.33,76.51,38.74,3.0
211,Ankazoabo,36,MG,1547513090,97,-22.29,44.51,68.84,2.77
212,Bilma,0,NE,1547512881,38,18.69,12.92,40.63,7.31
213,Ekibastuz,56,KZ,1547513090,80,51.72,75.32,19.3,8.88
214,Presidencia Roque Saenz Pena,44,AR,1547513091,88,-26.79,-60.44,80.05,4.23
215,Mana,88,RS,1547512200,86,43.52,20.24,32.0,6.08
216,Isangel,68,VU,1547513080,100,-19.55,169.27,78.43,11.95
217,Carnarvon,0,ZA,1547513091,33,-30.97,22.13,56.29,6.08
218,Hobyo,64,SO,1547513091,88,5.35,48.53,74.47,15.59
219,Rio Grande,92,BR,1547513090,98,-32.03,-52.1,75.14,3.85
220,Baoding,0,CN,1547513091,24,38.86,115.49,13.36,10.27
221,Broken Hill,0,AU,1547510700,11,-31.97,141.45,104.0,20.8
222,Great Yarmouth,8,GB,1547511600,100,52.61,1.73,37.4,10.29
223,Verkhnevilyuysk,8,RU,1547513092,78,63.45,120.31,-38.04,2.77
224,Soure,36,PT,1547510400,100,40.06,-8.63,41.0,2.24
225,Zyryanovsk,0,KZ,1547513092,50,49.74,84.27,-4.87,2.62
226,Vestmannaeyjar,48,IS,1547512860,100,63.44,-20.27,39.1,18.1
227,Pevek,64,RU,1547513093,100,69.7,170.27,-14.46,12.46
228,Henties Bay,80,NA,1547513093,96,-22.12,14.28,63.89,3.56
229,Tiarei,75,PF,1547512200,70,-17.53,-149.33,86.0,12.75
230,Petit Goave,20,HT,1547510400,74,18.43,-72.87,80.6,10.29
231,Flinders,0,AU,1547510400,58,-34.58,150.85,86.0,5.82
232,Torbay,90,CA,1547510400,79,47.66,-52.73,23.0,13.87
233,Bereda,64,ES,1547510400,100,43.27,-7.54,37.4,4.7
234,Sinazongwe,8,ZM,1547513094,83,-17.26,27.46,77.84,4.74
235,Batagay-Alyta,0,RU,1547513094,0,67.8,130.41,-58.24,2.77
236,Anantapur,0,IN,1547512848,82,14.68,77.61,53.23,2.89
237,Lensk,44,RU,1547513094,59,60.71,114.91,-13.02,3.0
238,Portland,20,US,1547510160,46,45.52,-122.67,50.0,6.93
239,Menongue,92,AO,1547513061,23,-14.66,17.68,81.13,6.91
240,Berzovia,0,RO,1547512200,69,45.43,21.63,33.8,13.87
241,Rio Tercero,92,AR,1547513095,100,-32.17,-64.11,64.48,6.76
242,Trinidad,92,UY,1547513095,65,-33.52,-56.9,79.64,6.91
243,Qaqortoq,64,GL,1547509800,68,60.72,-46.03,28.4,4.74
244,Miri,0,NG,1547513096,61,10.31,9.75,57.23,3.0
245,Saint-Georges,0,CA,1547513096,86,46.12,-70.67,1.84,4.12
246,Manokwari,36,ID,1547512934,100,-0.87,134.08,80.63,5.57
247,Abrau-Dyurso,88,RU,1547510400,75,44.7,37.6,44.6,15.66
248,Faanui,76,PF,1547512828,100,-16.48,-151.75,82.3,16.93
249,Margate,0,AU,1547510400,61,-43.03,147.26,77.0,11.41
250,Longyearbyen,20,NO,1547509800,71,78.22,15.63,5.0,8.05
251,Hithadhoo,80,MV,1547513097,100,-0.6,73.08,81.76,4.12
252,Takoradi,44,GH,1547513097,100,4.89,-1.75,81.04,7.65
253,Itarema,20,BR,1547512865,97,-2.92,-39.92,75.55,4.9
254,Pingxiang,92,CN,1547513097,98,27.63,113.85,42.52,3.06
255,Skoczow,0,PL,1547512200,73,49.8,18.79,24.8,4.7
256,Pedana,8,IN,1547510400,93,16.26,81.15,66.2,0.76
257,Sooke,1,CA,1547511000,84,48.37,-123.73,46.4,2.33
258,Svarstad,0,NO,1547511600,61,59.4,9.97,32.0,12.75
259,Kalakamati,32,BW,1547513098,73,-20.59,27.31,71.63,8.59
260,Poum,8,MK,1547513052,87,41.28,20.71,20.33,2.28
261,Xapuri,56,BR,1547513098,84,-10.65,-68.5,78.79,2.1
262,Hay River,40,CA,1547510400,75,60.82,-115.79,-18.41,5.82
263,Ulaanbaatar,0,MN,1547510400,67,47.92,106.92,-23.81,2.33
264,Plettenberg Bay,0,ZA,1547513099,100,-34.05,23.37,65.33,5.01
265,Tuktoyaktuk,75,CA,1547510400,76,69.44,-133.03,-7.61,16.11
266,Sobolevo,92,RU,1547513099,97,54.43,31.9,31.27,10.89
267,Maryborough,0,AU,1547513049,45,-25.54,152.7,86.44,4.29
268,Luanda,20,AO,1547510400,83,-8.83,13.24,77.0,5.82
269,Klyuchi,88,RU,1547513100,80,52.25,79.17,19.61,17.43
270,Oksfjord,0,NO,1547511600,85,70.24,22.35,21.2,3.36
271,Notre-Dame-du-Lac,1,CA,1547509980,63,47.61,-68.8,12.02,3.29
272,Nova Olinda do Norte,56,BR,1547513101,86,-3.89,-59.1,78.61,3.89
273,Cabo San Lucas,90,MX,1547509440,77,22.89,-109.91,68.0,11.41
274,Khatanga,56,RU,1547513101,54,71.98,102.47,-18.46,16.87
275,Nara,75,JP,1547512200,70,34.68,135.8,44.6,8.05
276,Tasiilaq,64,GL,1547509800,51,65.61,-37.64,14.0,18.34
